iter	Passed	Remaining
739	2623	921
740	2626	917
741	2628	914
742	2632	910
743	2635	906
744	2637	902
745	2640	899
746	2643	895
747	2645	891
748	2649	887
749	2651	883
750	2654	880
751	2657	876
752	2659	872
753	2662	868
754	2666	865
755	2669	861
756	2672	857
757	2674	853
758	2677	850
759	2679	846
760	2684	843
761	2687	839
762	2689	835
763	2692	831
764	2694	827
765	2698	824
766	2700	820
767	2703	816
768	2705	812
769	2708	808
770	2711	805
771	2714	801
772	2717	798
773	2720	794
774	2722	790
775	2725	786
776	2728	783
777	2731	779
778	2734	775
779	2737	772
780	2739	768
781	2742	764
782	2745	760
783	2747	757
784	2750	753
785	2753	749
786	2755	745
787	2758	742
788	2761	738
789	2764	734
790	2767	731
791	2769	727
792	2773	723
793	2776	720
794	2780	716
795	2783	713
796	2786	709
797	2788	705
798	2791	702
799	2795	698
800	2797	695
801	2800	691
802	2803	687
803	2806	684
804	2809	680
805	2812	676
806	2815	673
807	2818	669
808	2821	666
809	2824	662
810	2827	659
811	2830	655
812	2833	651
813	2836	648
814	2840	644
815	2843	641
816	2847	637
817	2850	634
818	2853	630
819	2856	627
820	2859	623
821	2862	619
822	2865	616
823	2869	612
824	2873	609
825	2877	606
826	2880	602
827	2884	599
828	2887	595
829	2890	592
830	2893	588
831	2896	584
832	2900	581
833	2905	578
834	2908	574
835	2913	571
836	2916	567
837	2919	564
838	2922	560
839	2925	557
840	2928	553
841	2932	550
842	2934	546
843	2937	542
844	2939	539
845	2943	535
846	2945	532
847	2947	528
848	2950	524
849	2952	521
850	2955	517
851	2958	513
852	2961	510
853	2963	506
854	2966	503
855	2968	499
856	2971	495
857	2973	492
858	2976	488
859	2978	484
860	2980	481
861	2983	477
862	2986	474
863	2988	470
864	2992	466
865	2995	463
866	2998	459
867	3000	456
868	3003	452
869	3005	449
870	3007	445
871	3010	441
872	3012	438
873	3015	434
874	3018	431
875	3021	427
876	3023	424
877	3026	420
878	3029	417
879	3031	413
880	3034	409
881	3037	406
882	3040	402
883	3042	399
884	3045	395
885	3047	392
886	3050	388
887	3052	385
888	3055	381
889	3058	377
890	3060	374
891	3062	370
892	3066	367
893	3069	363
894	3071	360
895	3074	356
896	3076	353
897	3079	349
898	3082	346
899	3085	342
900	3088	339
901	3090	335
902	3093	332
903	3096	328
904	3098	325
905	3102	321
906	3104	318
907	3106	314
908	3109	311
909	3112	307
910	3115	304
911	3118	300
912	3120	297
913	3123	293
914	3126	290
915	3128	286
916	3132	283
917	3135	280
918	3138	276
919	3141	273
920	3143	269
921	3146	266
922	3150	262
923	3152	259
924	3155	255
925	3157	252
926	3160	248
927	3162	245
928	3166	241
929	3170	238
930	3173	235
931	3175	231
932	3178	228
933	3181	224
934	3184	221
935	3187	217
936	3190	214
937	3192	211
938	3195	207
939	3198	204
940	3201	200
941	3203	197
942	3205	193
943	3208	190
944	3210	186
945	3213	183
946	3217	180
947	3220	176
948	3222	173
949	3224	169
950	3228	166
951	3231	162
952	3234	159
953	3236	156
954	3238	152
955	3241	149
956	3244	145
957	3246	142
958	3249	138
959	3251	135
960	3253	132
961	3256	128
962	3259	125
963	3263	121
964	3266	118
965	3268	115
966	3271	111
967	3274	108
968	3277	104
969	3279	101
970	3282	98
971	3285	94
972	3288	91
973	3291	87
974	3294	84
975	3296	81
976	3299	77
977	3302	74
978	3305	70
979	3309	67
980	3311	64
981	3314	60
982	3317	57
983	3320	53
984	3324	50
985	3327	47
986	3329	43
987	3332	40
988	3335	37
989	3338	33
990	3343	30
991	3346	26
992	3349	23
993	3353	20
994	3356	16
995	3359	13
996	3362	10
997	3365	6
998	3368	3
999	3371	0
